LOC_ID,LOC_NAME,AUSPICE,InfantSpace,ToddlerSpace,PreschoolSpace,KindergartenSpace,SchoolAgeSpace
14453,Family Day Muirhead Extended Day And School Age Program,Non-Profit,0,0,0,26,15
14454,Family Day Thomas L Wells Extended Day And School Age Program,Non-Profit,0,0,0,13,30
14455,Macaulay - George Syme Child Care Centre,Non-Profit,0,0,0,26,15
14456,Macaulay - Hj Alexander Child Care Centre,Non-Profit,0,0,0,26,30
14457,Birch Cliff Heights Licensed Before And After School Program,Non-Profit,0,0,0,26,15
14458,Chine Drive Licensed Before And After School Program,Non-Profit,0,0,0,26,30
14459,Young Talents Academy,Commercial,0,30,40,0,0
14461,Macaulay - Valleyfield Child Care Centre,Non-Profit,0,0,0,26,30
14463,Macaulay - Pelmo Park Child Care Centre,Non-Profit,0,0,0,26,30
14465,Macaulay - St. Paul VI,Non-Profit,0,15,24,26,30
14466,Network Child Care Services - St. Bartholomew Child Care Centre,Non-Profit,10,15,24,13,15
14469,Kepalen Angelic Child Care,Non-Profit,6,13,15,0,0
14470,Central Montessori School,Commercial,0,30,16,0,0
14475,Plasp St. Margaret C.S.,Non-Profit,0,0,0,0,15
14478,Happyland Childcare Learning Centre,Commercial,10,30,64,0,0
14484,Queen Street Childcare Centre,Non-Profit,10,15,24,0,0
14492,The Neighbourhood Group Downsview Child Care,Non-Profit,0,0,0,52,60
14496,Lawrence Park School,Non-Profit,0,25,35,0,0
14497,The Munchkin Manor Daycare & Early Learning Centre Inc.,Commercial,0,25,24,0,0
14501,Columbus Early Learning Centres - Regina Mundi,Non-Profit,0,0,0,26,30
14504,Brightpath Leslieville,Commercial,30,60,64,0,0
14516,Chabad Of Midtown,Non-Profit,20,35,0,0,0
14531,Tree Of Life Montessori Academy,Non-Profit,10,15,46,0,0
14539,Ivy Montessori School,Commercial,0,0,24,0,0
14540,Willow World,Commercial,0,19,21,0,0
14541,The Village Nursery School,Commercial,0,0,18,0,0
14543,Rec Room Child Care @mimico,Commercial,0,15,21,0,0
14550,Little Giants,Commercial,0,0,38,0,0
14552,Moshava Ba'Ir Day Camp Of Toronto - Preschool,Non-Profit,0,0,24,50,0
14554,Riverdale Learning Loft Inc.,Commercial,10,15,16,0,0
14557,Children's Garden Nursery School,Non-Profit,0,0,29,23,0
14560,Le Petit Chaperon Rouge Milverton,Non-Profit,10,10,24,0,0
14568,Pope Francis (North York Little Prints Daycare),Non-Profit,0,0,0,26,30
14569,Macaulay Centres For Chidren - St. Jane Frances,Non-Profit,0,0,0,26,30
14570,Heart Beatz Child Care - Cedarbrook Site,Non-Profit,0,0,0,26,30
14571,Macaulay - St. Thomas Aquinas Child Care Centre,Non-Profit,0,0,0,26,30
14572,Family Day North Agincourt Before And After School Program,Non-Profit,0,0,0,26,30
14573,Wonderkids Daycare,Non-Profit,0,0,24,0,0
14574,Family Day Sacred Heart Toronto Before And After School Program,Non-Profit,0,0,0,26,30
14575,Family Day Kingslake Before And After School Program,Non-Profit,0,0,0,26,30
14576,Macaulay - St. Jude Child Care Centre,Non-Profit,0,0,0,26,30
14577,George Brown - Dennis Avenue Child Care Centre,Non-Profit,0,0,0,26,30
14579,Guidepost Montessori At The Annex,Non-Profit,0,12,48,0,35
14580,The Montessori Schoolhouse,Non-Profit,0,0,16,0,0
